index,mid,display_name
90,/m/03fwl,Goat,Other animal sounds
91,/m/07q0h5t,Bleat,Other animal sounds
92,/m/07bgp,Sheep,Other animal sounds
93,/m/025rv6n,Fowl,Other animal sounds
94,/m/09b5t,"Chicken, rooster",Other animal sounds
95,/m/07st89h,Cluck,Other animal sounds
96,/m/07qn5dc,"Crowing, cock-a-doodle-doo",Other animal sounds
97,/m/01rd7k,Turkey,Other animal sounds
98,/m/07svc2k,Gobble,Other animal sounds
99,/m/09ddx,Duck,Other animal sounds
100,/m/07qdb04,Quack,Other animal sounds
101,/m/0dbvp,Goose,Other animal sounds
102,/m/07qwf61,Honk,Other animal sounds
103,/m/01280g,Wild animals,Other animal sounds
104,/m/0cdnk,"Roaring cats (lions, tigers)",Other animal sounds
105,/m/04cvmfc,Roar,Other animal sounds
106,/m/015p6,Bird,Other animal sounds
107,/m/020bb7,"Bird vocalization, bird call, bird song",Other animal sounds
108,/m/07pggtn,"Chirp, tweet",Other animal sounds
109,/m/07sx8x_,Squawk,Other animal sounds
110,/m/0h0rv,"Pigeon, dove",Other animal sounds
111,/m/07r_25d,Coo,Other animal sounds
112,/m/04s8yn,Crow,Other animal sounds
113,/m/07r5c2p,Caw,Other animal sounds
114,/m/09d5_,Owl,Other animal sounds
115,/m/07r_80w,Hoot,Other animal sounds
116,/m/05_wcq,"Bird flight, flapping wings",Other animal sounds
117,/m/01z5f,"Canidae, dogs, wolves",Other animal sounds
118,/m/06hps,"Rodents, rats, mice",Other animal sounds
119,/m/04rmv,Mouse,Other animal sounds
120,/m/07r4gkf,Patter,Other animal sounds
121,/m/03vt0,Insect,Other animal sounds
122,/m/09xqv,Cricket,Other animal sounds
123,/m/09f96,Mosquito,Other animal sounds
124,/m/0h2mp,"Fly, housefly",Other animal sounds
125,/m/07pjwq1,Buzz,Other animal sounds
126,/m/01h3n,"Bee, wasp, etc.",Other animal sounds
127,/m/09ld4,Frog,Other animal sounds
128,/m/07st88b,Croak,Other animal sounds
129,/m/078jl,Snake,Other animal sounds
130,/m/07qn4z3,Rattle,Other animal sounds
131,/m/032n05,Whale vocalization,Other animal sounds
132,/m/04rlf,Music,Music & musical instruments
133,/m/04szw,Musical instrument,Music & musical instruments
134,/m/0fx80y,Plucked string instrument,Music & musical instruments
135,/m/0342h,Guitar,Music & musical instruments
136,/m/02sgy,Electric guitar,Music & musical instruments
137,/m/018vs,Bass guitar,Music & musical instruments
138,/m/042v_gx,Acoustic guitar,Music & musical instruments
139,/m/06w87,"Steel guitar, slide guitar",Music & musical instruments
140,/m/01glhc,Tapping (guitar technique),Music & musical instruments
141,/m/07s0s5r,Strum,Music & musical instruments
142,/m/018j2,Banjo,Music & musical instruments
143,/m/0jtg0,Sitar,Music & musical instruments
144,/m/04rzd,Mandolin,Music & musical instruments
145,/m/01bns_,Zither,Music & musical instruments
146,/m/07xzm,Ukulele,Music & musical instruments
147,/m/05148p4,Keyboard (musical),Music & musical instruments
148,/m/05r5c,Piano,Music & musical instruments
149,/m/01s0ps,Electric piano,Music & musical instruments
150,/m/013y1f,Organ,Music & musical instruments
151,/m/03xq_f,Electronic organ,Music & musical instruments
152,/m/03gvt,Hammond organ,Music & musical instruments
153,/m/0l14qv,Synthesizer,Music & musical instruments
154,/m/01v1d8,Sampler,Music & musical instruments
155,/m/03q5t,Harpsichord,Music & musical instruments
156,/m/0l14md,Percussion,Music & musical instruments
157,/m/02hnl,Drum kit,Music & musical instruments
158,/m/0cfdd,Drum machine,Music & musical instruments
159,/m/026t6,Drum,Music & musical instruments
160,/m/06rvn,Snare drum,Music & musical instruments
161,/m/03t3fj,Rimshot,Music & musical instruments
162,/m/02k_mr,Drum roll,Music & musical instruments
163,/m/0bm02,Bass drum,Music & musical instruments
164,/m/011k_j,Timpani,Music & musical instruments
165,/m/01p970,Tabla,Music & musical instruments
166,/m/01qbl,Cymbal,Music & musical instruments
167,/m/03qtq,Hi-hat,Music & musical instruments
168,/m/01sm1g,Wood block,Music & musical instruments
169,/m/07brj,Tambourine,Music & musical instruments
170,/m/05r5wn,Rattle (instrument),Music & musical instruments
171,/m/0xzly,Maraca,Music & musical instruments
172,/m/0mbct,Gong,Music & musical instruments
173,/m/016622,Tubular bells,Music & musical instruments
174,/m/0j45pbj,Mallet percussion,Music & musical instruments
175,/m/0dwsp,"Marimba, xylophone",Music & musical instruments
176,/m/0dwtp,Glockenspiel,Music & musical instruments
177,/m/0dwt5,Vibraphone,Music & musical instruments
178,/m/0l156b,Steelpan,Music & musical instruments
179,/m/05pd6,Orchestra,Music & musical instruments
180,/m/01kcd,Brass instrument,Music & musical instruments
181,/m/0319l,French horn,Music & musical instruments
182,/m/07gql,Trumpet,Music & musical instruments
183,/m/07c6l,Trombone,Music & musical instruments
184,/m/0l14_3,Bowed string instrument,Music & musical instruments
185,/m/02qmj0d,String section,Music & musical instruments
186,/m/07y_7,"Violin, fiddle",Music & musical instruments
187,/m/0d8_n,Pizzicato,Music & musical instruments
188,/m/01xqw,Cello,Music & musical instruments
189,/m/02fsn,Double bass,Music & musical instruments
190,/m/085jw,"Wind instrument, woodwind instrument",Music & musical instruments
191,/m/0l14j_,Flute,Music & musical instruments
192,/m/06ncr,Saxophone,Music & musical instruments
193,/m/01wy6,Clarinet,Music & musical instruments
194,/m/03m5k,Harp,Music & musical instruments
195,/m/0395lw,Bell,Music & musical instruments
196,/m/03w41f,Church bell,Music & musical instruments
197,/m/027m70_,Jingle bell,Music & musical instruments
198,/m/0gy1t2s,Bicycle bell,Music & musical instruments
199,/m/07n_g,Tuning fork,Music & musical instruments
200,/m/0f8s22,Chime,Music & musical instruments
201,/m/026fgl,Wind chime,Music & musical instruments
202,/m/0150b9,Change ringing (campanology),Music & musical instruments
203,/m/03qjg,Harmonica,Music & musical instruments
204,/m/0mkg,Accordion,Music & musical instruments
205,/m/0192l,Bagpipes,Music & musical instruments
206,/m/02bxd,Didgeridoo,Music & musical instruments
207,/m/0l14l2,Shofar,Music & musical instruments
208,/m/07kc_,Theremin,Music & musical instruments
209,/m/0l14t7,Singing bowl,Music & musical instruments
210,/m/01hgjl,Scratching (performance technique),Music & musical instruments
211,/m/064t9,Pop music,Music & musical instruments
212,/m/0glt670,Hip hop music,Music & musical instruments
213,/m/02cz_7,Beatboxing,Music & musical instruments
214,/m/06by7,Rock music,Music & musical instruments
215,/m/03lty,Heavy metal,Music & musical instruments
216,/m/05r6t,Punk rock,Music & musical instruments
217,/m/0dls3,Grunge,Music & musical instruments
218,/m/0dl5d,Progressive rock,Music & musical instruments
219,/m/07sbbz2,Rock and roll,Music & musical instruments
220,/m/05w3f,Psychedelic rock,Music & musical instruments
221,/m/06j6l,Rhythm and blues,Music & musical instruments
222,/m/0gywn,Soul music,Music & musical instruments
223,/m/06cqb,Reggae,Music & musical instruments
224,/m/01lyv,Country,Music & musical instruments
225,/m/015y_n,Swing music,Music & musical instruments
226,/m/0gg8l,Bluegrass,Music & musical instruments
227,/m/02x8m,Funk,Music & musical instruments
228,/m/02w4v,Folk music,Music & musical instruments
229,/m/06j64v,Middle Eastern music,Music & musical instruments
230,/m/03_d0,Jazz,Music & musical instruments
231,/m/026z9,Disco,Music & musical instruments
232,/m/0ggq0m,Classical music,Music & musical instruments
233,/m/05lls,Opera,Music & musical instruments
234,/m/02lkt,Electronic music,Music & musical instruments
235,/m/03mb9,House music,Music & musical instruments
236,/m/07gxw,Techno,Music & musical instruments
237,/m/07s72n,Dubstep,Music & musical instruments
238,/m/0283d,Drum and bass,Music & musical instruments
239,/m/0m0jc,Electronica,Music & musical instruments
240,/m/08cyft,Electronic dance music,Music & musical instruments
241,/m/0fd3y,Ambient music,Music & musical instruments
242,/m/07lnk,Trance music,Music & musical instruments
243,/m/0g293,Music of Latin America,Music & musical instruments
244,/m/0ln16,Salsa music,Music & musical instruments
245,/m/0326g,Flamenco,Music & musical instruments
246,/m/0155w,Blues,Music & musical instruments
247,/m/05fw6t,Music for children,Music & musical instruments
248,/m/02v2lh,New-age music,Music & musical instruments
249,/m/0y4f8,Vocal music,Music & musical instruments
250,/m/0z9c,A capella,Music & musical instruments
251,/m/0164x2,Music of Africa,Music & musical instruments
252,/m/0145m,Afrobeat,Music & musical instruments
253,/m/02mscn,Christian music,Music & musical instruments
254,/m/016cjb,Gospel music,Music & musical instruments
255,/m/028sqc,Music of Asia,Music & musical instruments
256,/m/015vgc,Carnatic music,Music & musical instruments
257,/m/0dq0md,Music of Bollywood,Music & musical instruments
258,/m/06rqw,Ska,Music & musical instruments
259,/m/02p0sh1,Traditional music,Music & musical instruments
260,/m/05rwpb,Independent music,Music & musical instruments
261,/m/074ft,Song,Music & musical instruments
262,/m/025td0t,Background music,Music & musical instruments
263,/m/02cjck,Theme music,Music & musical instruments
264,/m/03r5q_,Jingle (music),Music & musical instruments
265,/m/0l14gg,Soundtrack music,Music & musical instruments
266,/m/07pkxdp,Lullaby,Music & musical instruments
267,/m/01z7dr,Video game music,Music & musical instruments
268,/m/0140xf,Christmas music,Music & musical instruments
269,/m/0ggx5q,Dance music,Music & musical instruments
270,/m/04wptg,Wedding music,Music & musical instruments
271,/t/dd00031,Happy music,Music & musical instruments
272,/t/dd00033,Sad music,Music & musical instruments
273,/t/dd00034,Tender music,Music & musical instruments
274,/t/dd00035,Exciting music,Music & musical instruments
275,/t/dd00036,Angry music,Music & musical instruments
276,/t/dd00037,Scary music,Music & musical instruments
277,/m/03m9d0z,Wind,Weather & environmental sounds
278,/m/09t49,Rustling leaves,Weather & environmental sounds
279,/t/dd00092,Wind noise (microphone),Weather & environmental sounds
280,/m/0jb2l,Thunderstorm,Weather & environmental sounds
281,/m/0ngt1,Thunder,Weather & environmental sounds
282,/m/0838f,Water,Weather & environmental sounds
283,/m/06mb1,Rain,Weather & environmental sounds
284,/m/07r10fb,Raindrop,Weather & environmental sounds
285,/t/dd00038,Rain on surface,Weather & environmental sounds
286,/m/0j6m2,Stream,Weather & environmental sounds
287,/m/0j2kx,Waterfall,Weather & environmental sounds
288,/m/05kq4,Ocean,Weather & environmental sounds
289,/m/034srq,"Waves, surf",Weather & environmental sounds
290,/m/06wzb,Steam,Weather & environmental sounds
291,/m/07swgks,Gurgling,Weather & environmental sounds
292,/m/02_41,Fire,Weather & environmental sounds
293,/m/07pzfmf,Crackle,Weather & environmental sounds
294,/m/07yv9,Vehicle,Vehicle & transportation sounds
295,/m/019jd,"Boat, Water vehicle",Vehicle & transportation sounds
296,/m/0hsrw,"Sailboat, sailing ship",Vehicle & transportation sounds
297,/m/056ks2,"Rowboat, canoe, kayak",Vehicle & transportation sounds
298,/m/02rlv9,"Motorboat, speedboat",Vehicle & transportation sounds
299,/m/06q74,Ship,Vehicle & transportation sounds
300,/m/012f08,Motor vehicle (road),Vehicle & transportation sounds
301,/m/0k4j,Car,Vehicle & transportation sounds
302,/m/0912c9,"Vehicle horn, car horn, honking",Vehicle & transportation sounds
303,/m/07qv_d5,Toot,Vehicle & transportation sounds
304,/m/02mfyn,Car alarm,Vehicle & transportation sounds
305,/m/04gxbd,"Power windows, electric windows",Vehicle & transportation sounds
306,/m/07rknqz,Skidding,Vehicle & transportation sounds
307,/m/0h9mv,Tire squeal,Vehicle & transportation sounds
308,/t/dd00134,Car passing by,Vehicle & transportation sounds
309,/m/0ltv,"Race car, auto racing",Vehicle & transportation sounds
310,/m/07r04,Truck,Vehicle & transportation sounds
311,/m/0gvgw0,Air brake,Vehicle & transportation sounds
312,/m/05x_td,"Air horn, truck horn",Vehicle & transportation sounds
313,/m/02rhddq,Reversing beeps,Vehicle & transportation sounds
314,/m/03cl9h,"Ice cream truck, ice cream van",Vehicle & transportation sounds
315,/m/01bjv,Bus,Vehicle & transportation sounds
316,/m/03j1ly,Emergency vehicle,Vehicle & transportation sounds
317,/m/04qvtq,Police car (siren),Vehicle & transportation sounds
318,/m/012n7d,Ambulance (siren),Vehicle & transportation sounds
319,/m/012ndj,"Fire engine, fire truck (siren)",Vehicle & transportation sounds
320,/m/04_sv,Motorcycle,Vehicle & transportation sounds
321,/m/0btp2,"Traffic noise, roadway noise",Vehicle & transportation sounds
322,/m/06d_3,Rail transport,Vehicle & transportation sounds
323,/m/07jdr,Train,Vehicle & transportation sounds
324,/m/04zmvq,Train whistle,Vehicle & transportation sounds
325,/m/0284vy3,Train horn,Vehicle & transportation sounds
326,/m/01g50p,"Railroad car, train wagon",Vehicle & transportation sounds
327,/t/dd00048,Train wheels squealing,Vehicle & transportation sounds
328,/m/0195fx,"Subway, metro, underground",Vehicle & transportation sounds
329,/m/0k5j,Aircraft,Vehicle & transportation sounds
330,/m/014yck,Aircraft engine,Vehicle & transportation sounds
331,/m/04229,Jet engine,Vehicle & transportation sounds
332,/m/02l6bg,"Propeller, airscrew",Vehicle & transportation sounds
333,/m/09ct_,Helicopter,Vehicle & transportation sounds
334,/m/0cmf2,"Fixed-wing aircraft, airplane",Vehicle & transportation sounds
335,/m/0199g,Bicycle,Vehicle & transportation sounds
336,/m/06_fw,Skateboard,Vehicle & transportation sounds
337,/m/02mk9,Engine,Engine & motors
338,/t/dd00065,Light engine (high frequency),Engine & motors
339,/m/08j51y,"Dental drill, dentist's drill",Engine & motors
340,/m/01yg9g,Lawn mower,Engine & motors
341,/m/01j4z9,Chainsaw,Engine & motors
342,/t/dd00066,Medium engine (mid frequency),Engine & motors
343,/t/dd00067,Heavy engine (low frequency),Engine & motors
344,/m/01h82_,Engine knocking,Engine & motors
345,/t/dd00130,Engine starting,Engine & motors
346,/m/07pb8fc,Idling,Engine & motors
347,/m/07q2z82,"Accelerating, revving, vroom",Engine & motors
348,/m/02dgv,Door,Household & office sounds
349,/m/03wwcy,Doorbell,Household & office sounds
350,/m/07r67yg,Ding-dong,Household & office sounds
351,/m/02y_763,Sliding door,Household & office sounds
352,/m/07rjzl8,Slam,Household & office sounds
353,/m/07r4wb8,Knock,Household & office sounds
354,/m/07qcpgn,Tap,Household & office sounds
355,/m/07q6cd_,Squeak,Household & office sounds
356,/m/0642b4,Cupboard open or close,Household & office sounds
357,/m/0fqfqc,Drawer open or close,Household & office sounds
358,/m/04brg2,"Dishes, pots, and pans",Household & office sounds
359,/m/023pjk,"Cutlery, silverware",Household & office sounds
360,/m/07pn_8q,Chopping (food),Household & office sounds
361,/m/0dxrf,Frying (food),Household & office sounds
362,/m/0fx9l,Microwave oven,Household & office sounds
363,/m/02pjr4,Blender,Household & office sounds
364,/m/02jz0l,"Water tap, faucet",Household & office sounds
365,/m/0130jx,Sink (filling or washing),Household & office sounds
366,/m/03dnzn,Bathtub (filling or washing),Household & office sounds
367,/m/03wvsk,Hair dryer,Household & office sounds
368,/m/01jt3m,Toilet flush,Household & office sounds
369,/m/012xff,Toothbrush,Household & office sounds
370,/m/04fgwm,Electric toothbrush,Household & office sounds
371,/m/0d31p,Vacuum cleaner,Household & office sounds
372,/m/01s0vc,Zipper (clothing),Household & office sounds
373,/m/03v3yw,Keys jangling,Household & office sounds
374,/m/0242l,Coin (dropping),Household & office sounds
375,/m/01lsmm,Scissors,Household & office sounds
376,/m/02g901,"Electric shaver, electric razor",Household & office sounds
377,/m/05rj2,Shuffling cards,Household & office sounds
378,/m/0316dw,Typing,Household & office sounds
379,/m/0c2wf,Typewriter,Household & office sounds
380,/m/01m2v,Computer keyboard,Household & office sounds
381,/m/081rb,Writing,Household & office sounds
382,/m/07pp_mv,Alarm,Alerts & alarms
383,/m/07cx4,Telephone,Alerts & alarms
384,/m/07pp8cl,Telephone bell ringing,Alerts & alarms
385,/m/01hnzm,Ringtone,Alerts & alarms
386,/m/02c8p,"Telephone dialing, DTMF",Alerts & alarms
387,/m/015jpf,Dial tone,Alerts & alarms
388,/m/01z47d,Busy signal,Alerts & alarms
389,/m/046dlr,Alarm clock,Alerts & alarms
390,/m/03kmc9,Siren,Alerts & alarms
391,/m/0dgbq,Civil defense siren,Alerts & alarms
392,/m/030rvx,Buzzer,Alerts & alarms
393,/m/01y3hg,"Smoke detector, smoke alarm",Alerts & alarms
394,/m/0c3f7m,Fire alarm,Alerts & alarms
395,/m/04fq5q,Foghorn,Alerts & alarms
396,/m/0l156k,Whistle,Mechanical & machine sounds
397,/m/06hck5,Steam whistle,Mechanical & machine sounds
398,/t/dd00077,Mechanisms,Mechanical & machine sounds
399,/m/02bm9n,"Ratchet, pawl",Mechanical & machine sounds
400,/m/01x3z,Clock,Mechanical & machine sounds
401,/m/07qjznt,Tick,Mechanical & machine sounds
402,/m/07qjznl,Tick-tock,Mechanical & machine sounds
403,/m/0l7xg,Gears,Mechanical & machine sounds
404,/m/05zc1,Pulleys,Mechanical & machine sounds
405,/m/0llzx,Sewing machine,Mechanical & machine sounds
406,/m/02x984l,Mechanical fan,Mechanical & machine sounds
407,/m/025wky1,Air conditioning,Mechanical & machine sounds
408,/m/024dl,Cash register,Mechanical & machine sounds
409,/m/01m4t,Printer,Mechanical & machine sounds
410,/m/0dv5r,Camera,Mechanical & machine sounds
411,/m/07bjf,Single-lens reflex camera,Mechanical & machine sounds
412,/m/07k1x,Tools,Tools & construction
413,/m/03l9g,Hammer,Tools & construction
414,/m/03p19w,Jackhammer,Tools & construction
415,/m/01b82r,Sawing,Tools & construction
416,/m/02p01q,Filing (rasp),Tools & construction
417,/m/023vsd,Sanding,Tools & construction
418,/m/0_ksk,Power tool,Tools & construction
419,/m/01d380,Drill,Tools & construction
420,/m/014zdl,Explosion,Explosion & impact sounds
421,/m/032s66,"Gunshot, gunfire",Explosion & impact sounds
422,/m/04zjc,Machine gun,Explosion & impact sounds
423,/m/02z32qm,Fusillade,Explosion & impact sounds
424,/m/0_1c,Artillery fire,Explosion & impact sounds
425,/m/073cg4,Cap gun,Explosion & impact sounds
426,/m/0g6b5,Fireworks,Explosion & impact sounds
427,/g/122z_qxw,Firecracker,Explosion & impact sounds
428,/m/07qsvvw,"Burst, pop",Explosion & impact sounds
429,/m/07pxg6y,Eruption,Explosion & impact sounds
430,/m/07qqyl4,Boom,Explosion & impact sounds
431,/m/083vt,Wood,Wood & glass sounds
432,/m/07pczhz,Chop,Wood & glass sounds
433,/m/07pl1bw,Splinter,Wood & glass sounds
434,/m/07qs1cx,Crack,Wood & glass sounds
435,/m/039jq,Glass,Wood & glass sounds
436,/m/07q7njn,"Chink, clink",Wood & glass sounds
437,/m/07rn7sz,Shatter,Wood & glass sounds
438,/m/04k94,Liquid,Liquid sounds
439,/m/07rrlb6,"Splash, splatter",Liquid sounds
440,/m/07p6mqd,Slosh,Liquid sounds
441,/m/07qlwh6,Squish,Liquid sounds
442,/m/07r5v4s,Drip,Liquid sounds
443,/m/07prgkl,Pour,Liquid sounds
444,/m/07pqc89,"Trickle, dribble",Liquid sounds
445,/t/dd00088,Gush,Liquid sounds
446,/m/07p7b8y,Fill (with liquid),Liquid sounds
447,/m/07qlf79,Spray,Liquid sounds
448,/m/07ptzwd,Pump (liquid),Liquid sounds
449,/m/07ptfmf,Stir,Liquid sounds
450,/m/0dv3j,Boiling,Liquid sounds
451,/m/0790c,Sonar,Motion & air movement
452,/m/0dl83,Arrow,Motion & air movement
453,/m/07rqsjt,"Whoosh, swoosh, swish",Motion & air movement
454,/m/07qnq_y,"Thump, thud",Explosion & impact sounds
455,/m/07rrh0c,Thunk,Explosion & impact sounds
456,/m/0b_fwt,Electronic tuner,Explosion & impact sounds
457,/m/02rr_,Effects unit,Explosion & impact sounds
458,/m/07m2kt,Chorus effect,Explosion & impact sounds
459,/m/018w8,Basketball bounce,Explosion & impact sounds
460,/m/07pws3f,Bang,Explosion & impact sounds
461,/m/07ryjzk,"Slap, smack",Explosion & impact sounds
462,/m/07rdhzs,"Whack, thwack",Explosion & impact sounds
463,/m/07pjjrj,"Smash, crash",Explosion & impact sounds
464,/m/07pc8lb,Breaking,Explosion & impact sounds
465,/m/07pqn27,Bouncing,Explosion & impact sounds
466,/m/07rbp7_,Whip,Friction & surface sounds
467,/m/07pyf11,Flap,Friction & surface sounds
468,/m/07qb_dv,Scratch,Friction & surface sounds
469,/m/07qv4k0,Scrape,Friction & surface sounds
470,/m/07pdjhy,Rub,Friction & surface sounds
471,/m/07s8j8t,Roll,Friction & surface sounds
472,/m/07plct2,Crushing,Friction & surface sounds
473,/t/dd00112,"Crumpling, crinkling",Friction & surface sounds
474,/m/07qcx4z,Tearing,Friction & surface sounds
475,/m/02fs_r,"Beep, bleep",Electronic, beeping & resonant sounds
476,/m/07qwdck,Ping,Electronic, beeping & resonant sounds
477,/m/07phxs1,Ding,Electronic, beeping & resonant sounds
478,/m/07rv4dm,Clang,Electronic, beeping & resonant sounds
479,/m/07s02z0,Squeal,Electronic, beeping & resonant sounds
480,/m/07qh7jl,Creak,Electronic, beeping & resonant sounds
481,/m/07qwyj0,Rustle,Electronic, beeping & resonant sounds
482,/m/07s34ls,Whir,Electronic, beeping & resonant sounds
483,/m/07qmpdm,Clatter,Electronic, beeping & resonant sounds
484,/m/07p9k1k,Sizzle,Electronic, beeping & resonant sounds
485,/m/07qc9xj,Clicking,Electronic, beeping & resonant sounds
486,/m/07rwm0c,Clickety-clack,Electronic, beeping & resonant sounds
487,/m/07phhsh,Rumble,Electronic, beeping & resonant sounds
488,/m/07qyrcz,Plop,Electronic, beeping & resonant sounds
489,/m/07qfgpx,"Jingle, tinkle",Electronic, beeping & resonant sounds
490,/m/07rcgpl,Hum,Electronic, beeping & resonant sounds
491,/m/07p78v5,Zing,Electronic, beeping & resonant sounds
492,/t/dd00121,Boing,Electronic, beeping & resonant sounds
493,/m/07s12q4,Crunch,Electronic, beeping & resonant sounds
494,/m/028v0c,Silence,Silence & sound effects
495,/m/01v_m0,Sine wave,Silence & sound effects
496,/m/0b9m1,Harmonic,Silence & sound effects
497,/m/0hdsk,Chirp tone,Silence & sound effects
498,/m/0c1dj,Sound effect,Silence & sound effects
499,/m/07pt_g0,Pulse,Silence & sound effects
500,/t/dd00125,"Inside, small room",Spatial sounds
501,/t/dd00126,"Inside, large room or hall",Spatial sounds
502,/t/dd00127,"Inside, public space",Spatial sounds
503,/t/dd00128,"Outside, urban or manmade",Spatial sounds
504,/t/dd00129,"Outside, rural or natural",Spatial sounds
505,/m/01b9nn,Reverberation,Spatial sounds
506,/m/01jnbd,Echo,Spatial sounds
507,/m/096m7z,Noise,Noise & distortion
508,/m/06_y0by,Environmental noise,Noise & distortion
509,/m/07rgkc5,Static,Noise & distortion
510,/m/06xkwv,Mains hum,Noise & distortion
511,/m/0g12c5,Distortion,Noise & distortion
512,/m/08p9q4,Sidetone,Noise & distortion
513,/m/07szfh9,Cacophony,Noise & distortion
514,/m/0chx_,White noise,Noise & distortion
515,/m/0cj0r,Pink noise,Noise & distortion
516,/m/07p_0gm,Throbbing,Noise & distortion
517,/m/01jwx6,Vibration,Noise & distortion
518,/m/07c52,Television,Media & recording devices
519,/m/06bz3,Radio,Media & recording devices
